RegionName,RegionType,StateName,1/31/2022,2/28/2022,3/31/2022
"Hinesville, GA",Msa,GA,176217,180180,182475
"Somerset, PA",Msa,PA,141229,143273,143392
"Warsaw, IN",Msa,IN,236604,239947,243124
"Stillwater, OK",Msa,OK,178350,181155,184063
"Quincy, IL",Msa,IL,136807,137458,139332
"Keene, NH",Msa,NH,286327,289594,293888
"Sandusky, OH",Msa,OH,184812,189984,194875
"Searcy, AR",Msa,AR,148667,150946,154188
"Columbus, IN",Msa,IN,219810,221709,223764
"Roanoke Rapids, NC",Msa,NC,90363,92789,93645
"Centralia, WA",Msa,WA,284945,291864,296926
"Casper, WY",Msa,WY,258056,261380,265082
"Helena, MT",Msa,MT,407203,416543,426581
"Findlay, OH",Msa,OH,182605,184352,186320
"Wisconsin Rapids-Marshfield, WI",Msa,WI,161555,162636,162122
"Palatka, FL",Msa,FL,175453,177946,181735
"Seneca, SC",Msa,SC,244662,249946,255553
"Mount Airy, NC",Msa,NC,163548,168233,170020
"Glenwood Springs, CO",Msa,CO,737648,746893,750877
"Key West, FL",Msa,FL,870817,887158,903743
"Aberdeen, WA",Msa,WA,316130,324229,330117
"Gallup, NM",Msa,NM,194255,199005,200118
"Port Angeles, WA",Msa,WA,482788,492437,502107
"Greenfield Town, MA",Msa,MA,293942,297942,300285
"Muskogee, OK",Msa,OK,98719,100833,101465
"Frankfort, KY",Msa,KY,189152,192083,193890
"Owosso, MI",Msa,MI,155857,156650,157715
"Mount Pleasant, MI",Msa,MI,177733,179083,178717
"Statesboro, GA",Msa,GA,183020,190159,195016
"Marion, IN",Msa,IN,106105,108074,110028
"Stevens Point, WI",Msa,WI,221697,224674,224997
"Minot, ND",Msa,ND,288778,278633,266442
"Shawnee, OK",Msa,OK,129718,132410,134351
"North Wilkesboro, NC",Msa,NC,176956,181813,183264
"Richmond, IN",Msa,IN,123067,124596,125345
"Greeneville, TN",Msa,TN,178542,185551,190848
"Martinsville, VA",Msa,VA,97710,99127,99559
"Forest City, NC",Msa,NC,183959,187909,189990
"Lake City, FL",Msa,FL,210923,215417,218913
"Kapaa, HI",Msa,HI,790191,804139,836810
"Marquette, MI",Msa,MI,199516,200581,200194
"LaGrange, GA",Msa,GA,156219,157865,159730
"Marion, OH",Msa,OH,128069,130062,130548
"Morehead City, NC",Msa,NC,384953,391923,398930
"Klamath Falls, OR",Msa,OR,279455,284122,288514
"Marinette, WI",Msa,WI,134358,135834,135635
"Roswell, NM",Msa,NM,135559,138444,139346
"Marshall, TX",Msa,TX,170618,174276,175682
"Farmington, MO",Msa,MO,160523,163489,166858
"Charleston, IL",Msa,IL,98231,99294,100357
"Athens, OH",Msa,OH,165170,167222,167461
"Hobbs, NM",Msa,NM,206855,211606,212319
"Clearlake, CA",Msa,CA,339609,342030,345386
"Nacogdoches, TX",Msa,TX,179095,183165,184471
"Hutchinson, KS",Msa,KS,120603,121739,121886
"Faribault, MN",Msa,MN,316234,316570,318629
"Elizabeth City, NC",Msa,NC,208246,213917,215931
"Ionia, MI",Msa,MI,208163,208936,209504
"Alamogordo, NM",Msa,NM,163347,167153,168167
"Red Bluff, CA",Msa,CA,322912,327160,324413
"Hudson, NY",Msa,NY,352141,357703,363166
"Somerset, KY",Msa,KY,178622,182023,183117
"Coos Bay, OR",Msa,OR,340484,346352,350713
"Walla Walla, WA",Msa,WA,385623,393266,402993
"Sayre, PA",Msa,PA,176648,178869,178779
"Oneonta, NY",Msa,NY,180026,182995,183224
"Fort Madison, IA",Msa,IA,104587,106193,106883
"Baraboo, WI",Msa,WI,245966,247443,250946
"Marietta, OH",Msa,OH,161776,163914,164330
"Salina, KS",Msa,KS,157871,159124,159127
"Rutland, VT",Msa,VT,239875,242194,244618
"Big Stone Gap, VA",Msa,VA,85556,86830,87407
"Sturgis, MI",Msa,MI,176534,179923,183884
"Rio Grande City, TX",Msa,TX,88034,90681,91584
"Fremont, OH",Msa,OH,148974,151057,151619
"Mount Vernon, OH",Msa,OH,198882,201991,203062
"Lewiston, ID",Msa,ID,335927,343724,345342
"Shelton, WA",Msa,WA,459383,454108,453435
"Albemarle, NC",Msa,NC,226727,230996,234687
"Enid, OK",Msa,OK,101489,102219,102894
"Jefferson, GA",Msa,GA,342979,349898,353777
